phrase,total_occurrences,bias_score,p_dem,p_rep,n_dem,n_rep
testing sites,296,-0.11171566840625066,0.004950957496496964,0.003955919751342187,212,84
citizens,296,0.2849026454144667,0.0036431574030826716,0.006546105302816238,156,139
rate,296,0.259123514963541,0.003713218122372723,0.006310633889045869,159,134
monday,296,-0.29428494965849084,0.005441382531527324,0.00296693981350664,233,63
coronavirus covid19,295,0.13997100206699006,0.004156936011209715,0.005510031082226617,178,117
higher,295,-0.2447427218790026,0.005277907519850537,0.0032024112272770085,226,68
pelosi,295,0.9301361479794954,0.00046707146193367583,0.012903833474616181,20,274
california,295,-0.6059574548849986,0.006141989724427838,0.001507017048130357,263,32
think,294,-0.01925128816650905,0.004600653900046707,0.0044268625788829235,197,94
op,294,0.3932496247253879,0.0031994395142456796,0.00734670810963549,137,156
workers amp,294,-0.3089475526427395,0.005441382531527324,0.002872751247998493,233,61
grocery,294,-0.2903428959710967,0.005394675385333956,0.00296693981350664,231,63
forget,294,-0.12730912387464058,0.00492760392340028,0.003814636903079966,211,81
afford,294,-0.4698440158229647,0.005744978981784213,0.002072148441179241,246,44
coronavirus 2019 ncov,294,-0.08251647810098985,0.004834189631013545,0.004097202599604408,207,87
less,294,-0.24542504709945476,0.0052078468005604854,0.0031553169445229347,223,67
nevada,293,-0.945693547113733,0.006749182624941616,0.00018837713101629462,289,4
process,293,0.13852463882456306,0.004133582438113031,0.005462936799472544,177,116
gov coronavirus 2019 ncov,293,-0.08011117662920281,0.004810836057916861,0.004097202599604408,206,87
cdc gov coronavirus 2019 ncov,293,-0.08011117662920281,0.004810836057916861,0.004097202599604408,206,87
cdc gov coronavirus 2019,293,-0.08011117662920281,0.004810836057916861,0.004097202599604408,206,87
ability,293,-0.13573606243206943,0.004950957496496964,0.0037675426203258922,212,80
gov coronavirus 2019,293,-0.08011117662920281,0.004810836057916861,0.004097202599604408,206,87
rent,292,-0.7375372325379052,0.006235404016814572,0.0009418856550814731,267,20
id,292,0.30628516758088586,0.003526389537599253,0.006640293868324386,151,141
human,292,0.1627108022806066,0.0039000467071461935,0.005415842516718471,167,115
region,292,-0.3050434251412185,0.005394675385333956,0.002872751247998493,231,61
las,292,-0.3334796860465928,0.005464736104624008,0.002731468399736272,234,58
second,292,0.01691402367804991,0.004507239607659972,0.004662333992653292,193,99
help keep,292,0.01951056912680791,0.004483886034563288,0.004662333992653292,192,99
gop,291,-0.33157513266574096,0.005441382531527324,0.002731468399736272,233,58
organizations,291,0.12287881896130005,0.004156936011209715,0.005321653951210323,178,113
police,291,-0.15213524527246106,0.00492760392340028,0.0036262597720636714,211,77
effects,291,0.0821863483255275,0.004273703876693134,0.0050390882546858815,183,107
medicaid,290,-0.6339013192206081,0.0060952825782344695,0.001365734199868136,261,29
learning,290,-0.08100764437771892,0.004764128911723494,0.004050108316850334,204,86
visit website,290,0.1884497401537329,0.003923400280242877,0.005745502495996986,168,122
power,290,-0.0597183267290167,0.004670714619336758,0.004144296882358482,200,88
seriously,290,-0.36484862868415985,0.005464736104624008,0.002543091268719977,234,54
appointment,290,-0.22728745619038576,0.005161139654367118,0.0032495055100310822,221,69
change,289,-0.3755649078606009,0.005394675385333956,0.00244890270321183,231,52
price,289,-0.0037884984779923197,0.004460532461466604,0.0044268625788829235,191,94
period,288,-0.32769928843120194,0.005301261092947221,0.0026843741169821985,227,57
small business owners,288,0.01454323400097702,0.004437178888369921,0.004568145427145145,190,97
